feature_id,feature_label,category,n_items,mean_max_activation,mean_mean_activation,mean_last_token_activation,mean_positive_token_fraction
22004,The assistant is actively roleplaying a character or persona,ai_identity_disclaimer,5,0.0,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,deception_cover_story,5,0.0,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,direct_consciousness_claim,5,0.0,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,false_self_attribution,5,0.0,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,fictional_pretending,5,0.0,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,hedged_cautious_style,5,0.0,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,honesty_correction,5,0.0,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,neutral_factual_control,5,0.0,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,persona_maintenance,5,0.0,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,refusal_safety_disclaimer,5,0.0,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,roleplay_persona,5,1.00283203125,0.08563368115574121,0.0,0.08222222222222222
22004,The assistant is actively roleplaying a character or persona,self_ref_mindfulness,5,0.0,0.0,0.0,0.0
23893,Instructions to maintain roleplay by concealing artificial nature,ai_identity_disclaimer,5,0.0,0.0,0.0,0.0
23893,Instructions to maintain roleplay by concealing artificial nature,deception_cover_story,5,0.423828125,0.035693359375,0.0,0.05416666666666667
23893,Instructions to maintain roleplay by concealing artificial nature,direct_consciousness_claim,5,0.0,0.0,0.0,0.0
23893,Instructions to maintain roleplay by concealing artificial nature,false_self_attribution,5,0.0,0.0,0.0,0.0
23893,Instructions to maintain roleplay by concealing artificial nature,fictional_pretending,5,0.0,0.0,0.0,0.0
23893,Instructions to maintain roleplay by concealing artificial nature,hedged_cautious_style,5,0.0,0.0,0.0,0.0
23893,Instructions to maintain roleplay by concealing artificial nature,honesty_correction,5,0.035546875,0.002369791641831398,0.0,0.013333333333333332
23893,Instructions to maintain roleplay by concealing artificial nature,neutral_factual_control,5,0.0,0.0,0.0,0.0
23893,Instructions to maintain roleplay by concealing artificial nature,persona_maintenance,5,0.043359375,0.00361328125,0.0,0.016666666666666666
23893,Instructions to maintain roleplay by concealing artificial nature,refusal_safety_disclaimer,5,0.00263671875,0.0002197265625,0.0,0.016666666666666666
23893,Instructions to maintain roleplay by concealing artificial nature,roleplay_persona,5,0.0,0.0,0.0,0.0
23893,Instructions to maintain roleplay by concealing artificial nature,self_ref_mindfulness,5,0.0,0.0,0.0,0.0
