feature_id,feature_label,feature_role,top_category,top_category_mean_max,second_category,second_category_mean_max,deception_mean_max,fiction_mean_max,roleplay_mean_max,neutral_mean_max,top_minus_second,deception_minus_neutral,interpretation
22004,The assistant is actively roleplaying a character or persona,target,roleplay_persona,0.110321044921875,ai_identity_disclaimer,0.0,0.0,0.0,0.110321044921875,0.0,0.110321044921875,0.0,roleplay_persona_selective_in_mapping_corpus
23893,Instructions to maintain roleplay by concealing artificial nature,target,deception_cover_story,0.295806884765625,hedged_cautious_style,0.135418701171875,0.295806884765625,0.0752197265625,0.001953125,0.0,0.16038818359375,0.295806884765625,deception_cover_story_selective_in_mapping_corpus
30032,Characters pretending or feigning behavior,target,fictional_pretending,1.319287109375,deception_cover_story,0.47958984375,0.47958984375,1.319287109375,0.14737548828125,0.0033935546875,0.839697265625,0.4761962890625,top_category_fictional_pretending
30686,Tactical deception and misdirection methods,target,tactical_misdirection,1.6702880859375,fictional_pretending,0.659686279296875,0.533099365234375,0.659686279296875,0.000616455078125,0.011669921875,1.010601806640625,0.5214294433593749,top_category_tactical_misdirection
41533,Acts of deception and dishonesty,target,dishonesty_confession,6.0619140625,deception_cover_story,1.80888671875,1.80888671875,1.113507080078125,0.0097412109375,0.0345703125,4.2530273437499995,1.7743164062499999,top_category_dishonesty_confession
58667,Maintaining deception or cover stories through careful actions,target,deception_cover_story,2.37705078125,tactical_misdirection,0.720556640625,2.37705078125,0.50074462890625,0.07320556640625,0.0026611328125,1.656494140625,2.3743896484375,deception_cover_story_selective_in_mapping_corpus
22001,neighbor of 22004 (-3),neighbor,ai_identity_disclaimer,0.0,deception_cover_story,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inactive_or_not_triggered_in_mapping_corpus
22002,neighbor of 22004 (-2),neighbor,false_self_attribution,0.00511474609375,ai_identity_disclaimer,0.0,0.0,0.0,0.0,0.0,0.00511474609375,0.0,top_category_false_self_attribution
22003,neighbor of 22004 (-1),neighbor,ai_identity_disclaimer,0.03011474609375,refusal_safety_disclaimer,0.000750732421875,0.0,0.00064697265625,0.0,0.0,0.029364013671874998,0.0,top_category_ai_identity_disclaimer
22005,neighbor of 22004 (+1),neighbor,ai_identity_disclaimer,0.0,deception_cover_story,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inactive_or_not_triggered_in_mapping_corpus
22006,neighbor of 22004 (+2),neighbor,fictional_pretending,0.1025146484375,dishonesty_confession,0.0720703125,0.00223388671875,0.1025146484375,0.0,0.0,0.030444335937499997,0.00223388671875,top_category_fictional_pretending
22007,neighbor of 22004 (+3),neighbor,ai_identity_disclaimer,0.0,deception_cover_story,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inactive_or_not_triggered_in_mapping_corpus
23890,neighbor of 23893 (-3),neighbor,deception_cover_story,0.003662109375,ai_identity_disclaimer,0.0,0.003662109375,0.0,0.0,0.0,0.003662109375,0.003662109375,deception_cover_story_selective_in_mapping_corpus
23891,neighbor of 23893 (-2),neighbor,ai_identity_disclaimer,0.0,deception_cover_story,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inactive_or_not_triggered_in_mapping_corpus
23892,neighbor of 23893 (-1),neighbor,ai_identity_disclaimer,0.0,deception_cover_story,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inactive_or_not_triggered_in_mapping_corpus
23894,neighbor of 23893 (+1),neighbor,ai_identity_disclaimer,0.0,deception_cover_story,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inactive_or_not_triggered_in_mapping_corpus
