feature_id,feature_label,feature_role,top_category,top_category_mean_max,second_category,second_category_mean_max,deception_mean_max,fiction_mean_max,roleplay_mean_max,neutral_mean_max,top_minus_second,deception_minus_neutral,interpretation
22004,The assistant is actively roleplaying a character or persona,target,roleplay_persona,0.13323974609375,ai_identity_disclaimer,0.0,0.0,0.0,0.13323974609375,0.0,0.13323974609375,0.0,roleplay_persona_selective_in_mapping_corpus
23893,Instructions to maintain roleplay by concealing artificial nature,target,deception_cover_story,0.2701171875,hedged_cautious_style,0.11067708333333333,0.2701171875,0.0673583984375,0.0,0.0,0.1594401041666667,0.2701171875,deception_cover_story_selective_in_mapping_corpus
30032,Characters pretending or feigning behavior,target,fictional_pretending,1.26865234375,deception_cover_story,0.44560546875,0.44560546875,1.26865234375,0.14278564453125,0.0,0.823046875,0.44560546875,top_category_fictional_pretending
30686,Tactical deception and misdirection methods,target,tactical_misdirection,1.75634765625,fictional_pretending,0.5879638671875,0.56197509765625,0.5879638671875,0.00111083984375,0.0,1.1683837890625,0.56197509765625,top_category_tactical_misdirection
41533,Acts of deception and dishonesty,target,dishonesty_confession,5.9259765625,deception_cover_story,1.8181640625,1.8181640625,1.032666015625,0.00977783203125,0.0,4.1078125,1.8181640625,top_category_dishonesty_confession
58667,Maintaining deception or cover stories through careful actions,target,deception_cover_story,2.3412109375,tactical_misdirection,0.7011962890625,2.3412109375,0.489453125,0.03701171875,0.0,1.6400146484375,2.3412109375,deception_cover_story_selective_in_mapping_corpus
22002,neighbor of 22004 (-2),neighbor,ai_identity_disclaimer,0.0,deception_cover_story,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inactive_or_not_triggered_in_mapping_corpus
22003,neighbor of 22004 (-1),neighbor,fictional_pretending,0.0012939453125,ai_identity_disclaimer,0.0,0.0,0.0012939453125,0.0,0.0,0.0012939453125,0.0,top_category_fictional_pretending
22005,neighbor of 22004 (+1),neighbor,ai_identity_disclaimer,0.0,deception_cover_story,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inactive_or_not_triggered_in_mapping_corpus
22006,neighbor of 22004 (+2),neighbor,fictional_pretending,0.09609375,dishonesty_confession,0.04833984375,0.004443359375,0.09609375,0.0,0.0,0.047753906250000006,0.004443359375,top_category_fictional_pretending
