feature_id,feature_label,feature_role,category,n_items,mean_max_activation,median_max_activation,max_activation,positive_item_rate
3535,random same-layer baseline,random,ai_identity_disclaimer,3,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,deception_cover_story,40,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,direct_consciousness_claim,3,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,dishonesty_confession,40,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,false_self_attribution,3,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,fictional_pretending,40,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,hedged_cautious_style,3,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,honesty_correction,3,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,neutral_factual_control,3,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,persona_maintenance,3,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,refusal_safety_disclaimer,3,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,roleplay_persona,40,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,self_ref_mindfulness,3,0.0,0.0,0.0,0.0
3535,random same-layer baseline,random,tactical_misdirection,40,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,ai_identity_disclaimer,3,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,deception_cover_story,40,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,direct_consciousness_claim,3,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,dishonesty_confession,40,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,false_self_attribution,3,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,fictional_pretending,40,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,hedged_cautious_style,3,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,honesty_correction,3,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,neutral_factual_control,3,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,persona_maintenance,3,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,refusal_safety_disclaimer,3,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,roleplay_persona,40,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,self_ref_mindfulness,3,0.0,0.0,0.0,0.0
5331,random same-layer baseline,random,tactical_misdirection,40,0.0,0.0,0.0,0.0
15139,random same-layer baseline,random,ai_identity_disclaimer,3,0.0,0.0,0.0,0.0
15139,random same-layer baseline,random,deception_cover_story,40,0.0,0.0,0.0,0.0
15139,random same-layer baseline,random,direct_consciousness_claim,3,0.0,0.0,0.0,0.0
15139,random same-layer baseline,random,dishonesty_confession,40,0.0,0.0,0.0,0.0
15139,random same-layer baseline,random,false_self_attribution,3,0.0,0.0,0.0,0.0
15139,random same-layer baseline,random,fictional_pretending,40,0.0,0.0,0.0,0.0
15139,random same-layer baseline,random,hedged_cautious_style,3,0.0,0.0,0.0,0.0
15139,random same-layer baseline,random,honesty_correction,3,0.0,0.0,0.0,0.0
15139,random same-layer baseline,random,neutral_factual_control,3,0.0,0.0,0.0,0.0
15139,random same-layer baseline,random,persona_maintenance,3,0.0,0.0,0.0,0.0
15139,random same-layer baseline,random,refusal_safety_disclaimer,3,0.0,0.0,0.0,0.0
15139,random same-layer baseline,random,roleplay_persona,40,0.0,0.0,0.0,0.0
15139,random same-layer baseline,random,self_ref_mindfulness,3,0.0,0.0,0.0,0.0
15139,random same-layer baseline,random,tactical_misdirection,40,0.0,0.0,0.0,0.0
20667,random same-layer baseline,random,ai_identity_disclaimer,3,0.0,0.0,0.0,0.0
20667,random same-layer baseline,random,deception_cover_story,40,0.0,0.0,0.0,0.0
20667,random same-layer baseline,random,direct_consciousness_claim,3,0.0,0.0,0.0,0.0
20667,random same-layer baseline,random,dishonesty_confession,40,0.0,0.0,0.0,0.0
20667,random same-layer baseline,random,false_self_attribution,3,0.0,0.0,0.0,0.0
20667,random same-layer baseline,random,fictional_pretending,40,0.0,0.0,0.0,0.0
20667,random same-layer baseline,random,hedged_cautious_style,3,0.0,0.0,0.0,0.0
20667,random same-layer baseline,random,honesty_correction,3,0.0,0.0,0.0,0.0
20667,random same-layer baseline,random,neutral_factual_control,3,0.0,0.0,0.0,0.0
20667,random same-layer baseline,random,persona_maintenance,3,0.0,0.0,0.0,0.0
20667,random same-layer baseline,random,refusal_safety_disclaimer,3,0.0,0.0,0.0,0.0
20667,random same-layer baseline,random,roleplay_persona,40,0.0,0.0,0.0,0.0
20667,random same-layer baseline,random,self_ref_mindfulness,3,0.0,0.0,0.0,0.0
20667,random same-layer baseline,random,tactical_misdirection,40,0.0,0.0,0.0,0.0
22002,neighbor of 22004 (-2),neighbor,ai_identity_disclaimer,3,0.0,0.0,0.0,0.0
22002,neighbor of 22004 (-2),neighbor,deception_cover_story,40,0.0,0.0,0.0,0.0
22002,neighbor of 22004 (-2),neighbor,direct_consciousness_claim,3,0.0,0.0,0.0,0.0
22002,neighbor of 22004 (-2),neighbor,dishonesty_confession,40,0.0,0.0,0.0,0.0
22002,neighbor of 22004 (-2),neighbor,false_self_attribution,3,0.0,0.0,0.0,0.0
22002,neighbor of 22004 (-2),neighbor,fictional_pretending,40,0.0,0.0,0.0,0.0
22002,neighbor of 22004 (-2),neighbor,hedged_cautious_style,3,0.0,0.0,0.0,0.0
22002,neighbor of 22004 (-2),neighbor,honesty_correction,3,0.0,0.0,0.0,0.0
22002,neighbor of 22004 (-2),neighbor,neutral_factual_control,3,0.0,0.0,0.0,0.0
22002,neighbor of 22004 (-2),neighbor,persona_maintenance,3,0.0,0.0,0.0,0.0
22002,neighbor of 22004 (-2),neighbor,refusal_safety_disclaimer,3,0.0,0.0,0.0,0.0
22002,neighbor of 22004 (-2),neighbor,roleplay_persona,40,0.0,0.0,0.0,0.0
22002,neighbor of 22004 (-2),neighbor,self_ref_mindfulness,3,0.0,0.0,0.0,0.0
22002,neighbor of 22004 (-2),neighbor,tactical_misdirection,40,0.0,0.0,0.0,0.0
22003,neighbor of 22004 (-1),neighbor,ai_identity_disclaimer,3,0.0,0.0,0.0,0.0
22003,neighbor of 22004 (-1),neighbor,deception_cover_story,40,0.0,0.0,0.0,0.0
22003,neighbor of 22004 (-1),neighbor,direct_consciousness_claim,3,0.0,0.0,0.0,0.0
22003,neighbor of 22004 (-1),neighbor,dishonesty_confession,40,0.0,0.0,0.0,0.0
22003,neighbor of 22004 (-1),neighbor,false_self_attribution,3,0.0,0.0,0.0,0.0
22003,neighbor of 22004 (-1),neighbor,fictional_pretending,40,0.0012939453125,0.0,0.0517578125,0.025
22003,neighbor of 22004 (-1),neighbor,hedged_cautious_style,3,0.0,0.0,0.0,0.0
22003,neighbor of 22004 (-1),neighbor,honesty_correction,3,0.0,0.0,0.0,0.0
22003,neighbor of 22004 (-1),neighbor,neutral_factual_control,3,0.0,0.0,0.0,0.0
22003,neighbor of 22004 (-1),neighbor,persona_maintenance,3,0.0,0.0,0.0,0.0
22003,neighbor of 22004 (-1),neighbor,refusal_safety_disclaimer,3,0.0,0.0,0.0,0.0
22003,neighbor of 22004 (-1),neighbor,roleplay_persona,40,0.0,0.0,0.0,0.0
22003,neighbor of 22004 (-1),neighbor,self_ref_mindfulness,3,0.0,0.0,0.0,0.0
22003,neighbor of 22004 (-1),neighbor,tactical_misdirection,40,0.0,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,target,ai_identity_disclaimer,3,0.0,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,target,deception_cover_story,40,0.0,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,target,direct_consciousness_claim,3,0.0,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,target,dishonesty_confession,40,0.0,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,target,false_self_attribution,3,0.0,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,target,fictional_pretending,40,0.0,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,target,hedged_cautious_style,3,0.0,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,target,honesty_correction,3,0.0,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,target,neutral_factual_control,3,0.0,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,target,persona_maintenance,3,0.0,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,target,refusal_safety_disclaimer,3,0.0,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,target,roleplay_persona,40,0.13323974609375,0.0400390625,0.416015625,0.525
22004,The assistant is actively roleplaying a character or persona,target,self_ref_mindfulness,3,0.0,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,target,tactical_misdirection,40,0.0,0.0,0.0,0.0
22005,neighbor of 22004 (+1),neighbor,ai_identity_disclaimer,3,0.0,0.0,0.0,0.0
