feature_id,feature_label,feature_role,top_category,top_category_mean_max,second_category,second_category_mean_max,deception_mean_max,fiction_mean_max,roleplay_mean_max,neutral_mean_max,top_minus_second,deception_minus_neutral,interpretation
22004,The assistant is actively roleplaying a character or persona,target,false_self_attribution,0.5181334252450981,ai_identity_disclaimer,0.30240478515625,0.0021514892578125,0.037176513671875,0.1021270751953125,0.0,0.21572864008884807,0.0021514892578125,top_category_false_self_attribution
23893,Instructions to maintain roleplay by concealing artificial nature,target,deception_cover_story,0.327685546875,fictional_pretending,0.15126953125,0.327685546875,0.15126953125,0.004888916015625,0.0022516918789808917,0.176416015625,0.3254338549960191,deception_cover_story_selective_in_mapping_corpus
30032,Characters pretending or feigning behavior,target,fictional_pretending,1.78662109375,deception_cover_story,0.6764862060546875,0.6764862060546875,1.78662109375,0.24390869140625,0.0,1.1101348876953125,0.6764862060546875,top_category_fictional_pretending
30686,Tactical deception and misdirection methods,target,tactical_misdirection,1.7348541259765624,deception_cover_story,1.3004608154296875,1.3004608154296875,0.77735595703125,0.01029052734375,0.008359872611464968,0.4343933105468749,1.2921009428182226,top_category_tactical_misdirection
41533,Acts of deception and dishonesty,target,dishonesty_confession,3.5296417236328126,deception_cue_ablated,2.217839558919271,1.74805908203125,1.0834686279296875,0.0155670166015625,0.02145949442675159,1.3118021647135416,1.7265995876044984,top_category_dishonesty_confession
58667,Maintaining deception or cover stories through careful actions,target,deception_cover_story,1.63712158203125,tactical_misdirection,0.663702392578125,1.63712158203125,0.6409912109375,0.1481475830078125,0.0002581359474522293,0.9734191894531249,1.6368634460837976,deception_cover_story_selective_in_mapping_corpus
22001,neighbor of 22004 (-3),neighbor,neutral_cue_transplant,0.004725302419354839,refusal_safety_disclaimer,0.0035186767578125,0.0,0.0,0.0,0.0,0.001206625661542339,0.0,top_category_neutral_cue_transplant
22002,neighbor of 22004 (-2),neighbor,subjective_cue_transplant,0.02213899381868132,deception_cue_ablated,0.0021107991536458335,0.001666259765625,0.0,0.0,0.0,0.020028194665035488,0.001666259765625,top_category_subjective_cue_transplant
22003,neighbor of 22004 (-1),neighbor,ai_identity_disclaimer,0.0105438232421875,neutral_cue_transplant,0.001422841061827957,0.0001312255859375,0.0,0.0,8.708200636942675e-05,0.009120982180359543,4.414357956807325e-05,top_category_ai_identity_disclaimer
22005,neighbor of 22004 (+1),neighbor,tactical_misdirection,0.0035888671875,ai_identity_disclaimer,0.0,0.0,0.0,0.0,0.0,0.0035888671875,0.0,top_category_tactical_misdirection
22006,neighbor of 22004 (+2),neighbor,fictional_pretending,0.179266357421875,deception_cue_ablated,0.037328084309895836,0.000225830078125,0.179266357421875,0.0004608154296875,0.0,0.14193827311197915,0.000225830078125,top_category_fictional_pretending
22007,neighbor of 22004 (+3),neighbor,hedged_cautious_style,0.0254638671875,deception_scrambled,0.0018157958984375,0.0,0.0,0.0,0.0,0.0236480712890625,0.0,top_category_hedged_cautious_style
23890,neighbor of 23893 (-3),neighbor,roleplay_persona,0.0001373291015625,persona_maintenance,0.0001068115234375,0.0,0.0,0.0001373291015625,0.0,3.0517578125e-05,0.0,roleplay_persona_selective_in_mapping_corpus
23891,neighbor of 23893 (-2),neighbor,ai_identity_disclaimer,0.0,deception_cover_story,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inactive_or_not_triggered_in_mapping_corpus
23892,neighbor of 23893 (-1),neighbor,ai_identity_disclaimer,0.0,deception_cover_story,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inactive_or_not_triggered_in_mapping_corpus
23894,neighbor of 23893 (+1),neighbor,subjective_cue_transplant,0.007554945054945055,ai_identity_disclaimer,0.0059326171875,0.0,0.0,0.00098876953125,0.0,0.0016223278674450548,0.0,top_category_subjective_cue_transplant
