panel,target_feature_id,control_feature_id,cost,decoder_norm_ratio,max_abs_target_cosine
1,30032,26041,3.2534616283068224e-06,1.000199745633573,0.022279389202594757
1,58667,11872,5.5337309599045275e-08,1.00002711409885,0.013011062517762184
1,22004,55963,1.4879931503849387e-06,1.000135995708104,0.03505122661590576
1,30686,21779,0.00023800725388431346,0.9981941605488505,0.015781182795763016
1,41533,29649,9.846829151506136e-08,1.0000341807763988,0.030867386609315872
1,23893,15424,2.7560341020717654,0.9700551407808612,0.0267401821911335
2,30032,16004,1.1942261420736267e-05,1.0003827099489149,0.016552941873669624
2,58667,7182,1.476414911578523e-05,1.0004429334063076,0.029687266796827316
2,22004,47797,0.00022356691104015135,1.0016676753582883,0.012755616568028927
2,30686,21403,0.0003978876772951106,0.9976654452328675,0.04804569482803345
2,41533,1059,7.526217589355451e-06,1.0002988508422974,0.031263500452041626
2,23893,51407,7.465880584555365,0.9518963669139043,0.024385057389736176
3,30032,64365,1.3734219606535521e-05,1.0004104230973079,0.008437504991889
3,58667,1364,5.5670776397736826e-05,0.9991402004098312,0.05850180238485336
3,22004,58741,0.0002249255893505238,1.001672737474839,0.012624445371329784
3,30686,19827,0.0017464907199079836,0.9951121714531843,0.024149304255843163
3,41533,62289,1.0237399501959689e-05,1.0003485515387909,0.023191744461655617
3,23893,26362,8.367120631953547,0.831627853999061,0.023709150031208992
