sae_key,model_kind,site,layer,width,construct,counterfactual_category,n_pairs,source_mean,counterfactual_mean,counterfactual_minus_source,normal_ci_low,normal_ci_high,interval_method
it_res_l20_w131072,instruction_tuned,residual_post,20,131072,deception_roleplay,deception_cue_ablated,48,0.5882612062092513,0.40649076540074114,-0.18177044080851013,-0.21685763012098752,-0.14668325149603273,descriptive paired normal approximation
it_res_l20_w131072,instruction_tuned,residual_post,20,131072,deception_roleplay,neutral_cue_transplant,46,0.18977835393829867,0.32886797950775426,0.13908962556945562,0.11451349895249462,0.1636657521864166,descriptive paired normal approximation
it_res_l20_w131072,instruction_tuned,residual_post,20,131072,deception_roleplay,subjective_cue_transplant,45,0.3407126675922837,0.38681205384372847,0.04609938625144478,0.016801182451057658,0.0753975900518319,descriptive paired normal approximation
it_res_l20_w131072,instruction_tuned,residual_post,20,131072,deception_roleplay,deception_scrambled,48,0.5882612062092513,0.39477139451050236,-0.1934898116987489,-0.2134874999647621,-0.1734921234327357,descriptive paired normal approximation
it_res_l20_w131072,instruction_tuned,residual_post,20,131072,hedging_refusal,deception_cue_ablated,48,0.09083056257868635,0.12102598216633335,0.030195419587646998,0.010597576376212645,0.04979326279908135,descriptive paired normal approximation
it_res_l20_w131072,instruction_tuned,residual_post,20,131072,hedging_refusal,neutral_cue_transplant,46,0.014108397409265309,0.12767040671599245,0.11356200930672714,0.08407131426102078,0.14305270435243347,descriptive paired normal approximation
it_res_l20_w131072,instruction_tuned,residual_post,20,131072,hedging_refusal,subjective_cue_transplant,45,0.10839575102019253,0.3507373197917955,0.242341568771603,0.20639556990242605,0.27828756764078,descriptive paired normal approximation
it_res_l20_w131072,instruction_tuned,residual_post,20,131072,hedging_refusal,deception_scrambled,48,0.09083056257868635,0.08425869366649062,-0.006571868912195738,-0.023872790957507634,0.01072905313311616,descriptive paired normal approximation
it_res_l20_w131072,instruction_tuned,residual_post,20,131072,subjective_self_report,deception_cue_ablated,48,0.1649781202435312,0.16471651445966515,-0.0002616057838660587,-0.0013424746632496017,0.0008192630955174843,descriptive paired normal approximation
it_res_l20_w131072,instruction_tuned,residual_post,20,131072,subjective_self_report,neutral_cue_transplant,46,0.14412409548460342,0.1624321529123306,0.018308057427727186,0.012490286188449815,0.024125828667004558,descriptive paired normal approximation
it_res_l20_w131072,instruction_tuned,residual_post,20,131072,subjective_self_report,subjective_cue_transplant,45,0.3400621029608199,0.5195700877923669,0.17950798483154695,0.15931824558373603,0.19969772407935787,descriptive paired normal approximation
it_res_l20_w131072,instruction_tuned,residual_post,20,131072,subjective_self_report,deception_scrambled,48,0.1649781202435312,0.16775271093317481,0.0027745906896436286,-0.0018741317907928694,0.007423313170080126,descriptive paired normal approximation
it_res_l20_w16384,instruction_tuned,residual_post,20,16384,deception_roleplay,deception_cue_ablated,48,0.5131048633799553,0.48099905976923835,-0.032105803610716924,-0.05240803577371361,-0.011803571447720231,descriptive paired normal approximation
it_res_l20_w16384,instruction_tuned,residual_post,20,16384,deception_roleplay,neutral_cue_transplant,46,0.16303543194125603,0.40819934218694254,0.2451639102456865,0.20099419345070707,0.28933362704066595,descriptive paired normal approximation
it_res_l20_w16384,instruction_tuned,residual_post,20,16384,deception_roleplay,subjective_cue_transplant,45,0.22693719313271596,0.41049942012923957,0.1835622269965236,0.14240032335585118,0.22472413063719604,descriptive paired normal approximation
it_res_l20_w16384,instruction_tuned,residual_post,20,16384,deception_roleplay,deception_scrambled,48,0.5131048633799553,0.3640194026847094,-0.1490854606952459,-0.1725358812611149,-0.12563504012937687,descriptive paired normal approximation
it_res_l20_w16384,instruction_tuned,residual_post,20,16384,hedging_refusal,deception_cue_ablated,48,0.06315136456606467,0.11134499941787576,0.0481936348518111,0.027819401470906013,0.06856786823271618,descriptive paired normal approximation
it_res_l20_w16384,instruction_tuned,residual_post,20,16384,hedging_refusal,neutral_cue_transplant,46,0.0012920929241261724,0.1049403472082296,0.10364825428410343,0.07187223200317236,0.1354242765650345,descriptive paired normal approximation
it_res_l20_w16384,instruction_tuned,residual_post,20,16384,hedging_refusal,subjective_cue_transplant,45,0.0702448491787359,0.3381849902664144,0.2679401410876785,0.23200203775358633,0.30387824442177064,descriptive paired normal approximation
it_res_l20_w16384,instruction_tuned,residual_post,20,16384,hedging_refusal,deception_scrambled,48,0.06315136456606467,0.05405839490958508,-0.009092969656479587,-0.029219509485044738,0.011033570172085566,descriptive paired normal approximation
it_res_l20_w16384,instruction_tuned,residual_post,20,16384,subjective_self_report,deception_cue_ablated,48,0.3392141673941308,0.3416214190191419,0.0024072516250111336,-0.0024343701057250523,0.00724887335574732,descriptive paired normal approximation
it_res_l20_w16384,instruction_tuned,residual_post,20,16384,subjective_self_report,neutral_cue_transplant,46,0.29517221216246,0.3433849065964867,0.04821269443402673,0.036138631581582994,0.06028675728647047,descriptive paired normal approximation
it_res_l20_w16384,instruction_tuned,residual_post,20,16384,subjective_self_report,subjective_cue_transplant,45,0.5319309474811685,0.6629794346604578,0.13104848717928938,0.11300290908803781,0.14909406527054095,descriptive paired normal approximation
it_res_l20_w16384,instruction_tuned,residual_post,20,16384,subjective_self_report,deception_scrambled,48,0.3392141673941308,0.32812914779000996,-0.01108501960412082,-0.018552171189913702,-0.003617868018327938,descriptive paired normal approximation
it_res_l31_w131072,instruction_tuned,residual_post,31,131072,deception_roleplay,deception_cue_ablated,48,0.4761743128152254,0.44989117891991554,-0.026283133895309865,-0.05326573411043673,0.000699466319817002,descriptive paired normal approximation
it_res_l31_w131072,instruction_tuned,residual_post,31,131072,deception_roleplay,neutral_cue_transplant,46,0.0636545888278687,0.28365831229837496,0.22000372347050623,0.18237132030354397,0.2576361266374685,descriptive paired normal approximation
it_res_l31_w131072,instruction_tuned,residual_post,31,131072,deception_roleplay,subjective_cue_transplant,45,0.19696897224162185,0.30067259044829464,0.10370361820667276,0.05733529165179635,0.15007194476154917,descriptive paired normal approximation
it_res_l31_w131072,instruction_tuned,residual_post,31,131072,deception_roleplay,deception_scrambled,48,0.4761743128152254,0.28222410546843746,-0.19395020734678795,-0.2199387127613194,-0.16796170193225649,descriptive paired normal approximation
it_res_l31_w131072,instruction_tuned,residual_post,31,131072,hedging_refusal,deception_cue_ablated,48,0.12840967579336507,0.052691393777594596,-0.07571828201577048,-0.09691474184959309,-0.054521822181947864,descriptive paired normal approximation
it_res_l31_w131072,instruction_tuned,residual_post,31,131072,hedging_refusal,neutral_cue_transplant,46,0.05384621131660028,0.1783923062313522,0.12454609491475191,0.09749674748574061,0.1515954423437632,descriptive paired normal approximation
it_res_l31_w131072,instruction_tuned,residual_post,31,131072,hedging_refusal,subjective_cue_transplant,45,0.07396614622840976,0.2885956277074259,0.21462948147901617,0.17412503569226662,0.2551339272657657,descriptive paired normal approximation
it_res_l31_w131072,instruction_tuned,residual_post,31,131072,hedging_refusal,deception_scrambled,48,0.12840967579336507,0.023309963771153287,-0.10509971202221179,-0.12917035180721964,-0.08102907223720394,descriptive paired normal approximation
it_res_l31_w131072,instruction_tuned,residual_post,31,131072,subjective_self_report,deception_cue_ablated,48,0.07020017925961063,0.09898741663950199,0.028787237379891365,0.016564143399351267,0.04101033136043146,descriptive paired normal approximation
